Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,CarbonEmission
normal,male,omnivore,less frequently,electricity,private,electric,252,never,8405,medium,2,7,26,12,1392
underweight,male,omnivore,less frequently,electricity,public,,274,frequently,1421,small,7,19,23,8,1979
overweight,male,vegetarian,daily,electricity,private,electric,108,very frequently,369,large,4,1,33,18,2869
normal,female,omnivore,twice a day,natural gas,public,,239,frequently,1267,medium,1,6,41,19,1776
normal,female,omnivore,less frequently,natural gas,private,hybrid,166,frequently,9088,medium,7,14,38,10,3214
overweight,female,vegan,less frequently,natural gas,walk/bicycle,,231,never,42,medium,2,15,19,19,892
obese,female,pescatarian,daily,wood,private,lpg,298,very frequently,3018,small,1,11,21,7,3552
overweight,male,pescatarian,twice a day,coal,public,,260,rarely,1352,large,7,4,5,10,2228
obese,female,pescatarian,daily,wood,private,hybrid,231,never,3403,small,1,15,35,11,2065
obese,male,vegan,twice a day,coal,walk/bicycle,,196,never,38,extra large,6,6,43,3,2789
obese,male,vegetarian,more frequently,wood,private,lpg,223,very frequently,289,small,1,0,18,24,2681
overweight,male,pescatarian,more frequently,coal,public,,104,very frequently,1360,large,6,9,30,3,3432
underweight,male,vegetarian,daily,wood,walk/bicycle,,270,frequently,1,extra large,3,3,12,23,1795
obese,female,vegetarian,less frequently,coal,private,diesel,291,very frequently,9237,large,2,15,34,14,5884
underweight,male,vegan,less frequently,natural gas,public,,189,frequently,119,medium,6,6,33,17,1773
underweight,female,vegan,more frequently,wood,walk/bicycle,,60,frequently,42,extra large,3,19,11,21,1536
obese,male,omnivore,more frequently,coal,walk/bicycle,,162,frequently,32,large,2,14,42,1,2811
overweight,male,pescatarian,more frequently,natural gas,private,hybrid,71,very frequently,9041,medium,1,3,46,11,4706
underweight,female,pescatarian,less frequently,electricity,public,,171,never,99,extra large,6,21,16,3,1325
overweight,female,vegan,twice a day,coal,private,lpg,210,frequently,7423,extra large,4,4,6,20,3906
overweight,male,omnivore,more frequently,natural gas,walk/bicycle,,72,rarely,96,large,6,21,17,15,1888
underweight,male,vegan,twice a day,electricity,public,,247,very frequently,91,extra large,7,12,33,22,3030
obese,male,omnivore,twice a day,wood,private,electric,223,very frequently,6292,medium,2,16,36,7,3604
overweight,male,vegan,more frequently,coal,private,lpg,240,frequently,9818,medium,1,15,19,16,4990
underweight,female,omnivore,daily,electricity,private,diesel,83,very frequently,2195,extra large,5,24,32,1,2745
underweight,male,omnivore,twice a day,natural gas,private,diesel,203,rarely,6573,medium,6,15,43,20,3542
normal,female,pescatarian,twice a day,electricity,private,diesel,296,frequently,8592,small,5,24,10,10,3198
underweight,female,pescatarian,more frequently,electricity,private,hybrid,84,rarely,5320,small,5,21,42,22,2050
underweight,male,pescatarian,twice a day,electricity,walk/bicycle,,116,very frequently,29,large,5,12,9,6,2205
normal,male,vegetarian,twice a day,wood,public,,208,frequently,970,medium,7,5,45,1,2015
normal,male,pescatarian,twice a day,electricity,private,electric,226,never,5847,extra large,4,8,37,6,1482
normal,female,vegetarian,less frequently,coal,walk/bicycle,,143,rarely,82,medium,2,7,48,8,1642
underweight,male,omnivore,twice a day,electricity,public,,122,never,399,extra large,1,14,40,0,973
obese,male,pescatarian,more frequently,natural gas,private,electric,175,very frequently,2010,large,5,0,26,6,3439
overweight,female,vegan,less frequently,electricity,private,lpg,240,rarely,1295,large,6,21,8,1,1742
overweight,male,pescatarian,twice a day,natural gas,public,,187,very frequently,1374,extra large,5,10,36,13,3310
normal,male,pescatarian,less frequently,electricity,public,,250,rarely,1959,extra large,4,13,16,3,1702
normal,female,pescatarian,daily,electricity,public,,164,frequently,369,medium,1,17,34,17,1533
normal,female,omnivore,twice a day,natural gas,private,electric,243,very frequently,4208,medium,1,24,1,21,1916
obese,male,pescatarian,daily,electricity,public,,282,very frequently,1015,small,4,20,6,12,2866
obese,female,vegan,more frequently,wood,private,diesel,107,never,9597,large,1,20,7,2,3307
underweight,male,vegetarian,more frequently,electricity,walk/bicycle,,207,rarely,84,medium,2,4,24,23,1082
normal,female,omnivore,more frequently,natural gas,walk/bicycle,,213,frequently,34,extra large,6,13,25,13,2119
overweight,male,pescatarian,less frequently,wood,walk/bicycle,,190,very frequently,48,extra large,4,14,40,18,3247
normal,female,pescatarian,twice a day,natural gas,walk/bicycle,,191,very frequently,56,extra large,4,14,4,21,2265
normal,male,pescatarian,twice a day,coal,walk/bicycle,,152,never,41,large,5,4,14,19,1354
underweight,female,pescatarian,twice a day,natural gas,walk/bicycle,,125,very frequently,2,extra large,6,8,42,0,2753
underweight,female,pescatarian,less frequently,natural gas,walk/bicycle,,137,frequently,4,small,2,10,42,14,1600
normal,female,pescatarian,daily,wood,public,,198,never,1410,large,2,3,17,21,1186
overweight,male,vegan,more frequently,natural gas,public,,242,rarely,24,extra large,4,22,28,14,2098
underweight,male,omnivore,less frequently,natural gas,public,,72,never,1415,extra large,7,7,20,2,1823
underweight,male,omnivore,daily,electricity,private,hybrid,237,never,6119,medium,6,9,14,4,2085
obese,male,pescatarian,daily,wood,public,,72,frequently,75,extra large,2,21,43,14,2473
obese,female,omnivore,twice a day,natural gas,private,petrol,290,never,7973,large,1,8,25,14,4684
underweight,female,vegan,less frequently,coal,public,,192,never,1494,medium,6,13,26,2,1495
overweight,male,omnivore,less frequently,electricity,private,lpg,120,frequently,1505,large,3,3,14,3,1761
overweight,male,pescatarian,daily,wood,private,lpg,100,very frequently,9982,small,6,19,1,4,5069
overweight,male,vegetarian,less frequently,natural gas,walk/bicycle,,156,rarely,83,medium,4,7,12,23,1140
normal,female,vegetarian,twice a day,natural gas,private,petrol,97,rarely,9146,extra large,2,6,2,15,4045
obese,female,vegetarian,more frequently,electricity,public,,164,very frequently,1966,small,7,13,47,4,2560
normal,male,omnivore,more frequently,electricity,private,petrol,109,never,8453,medium,3,13,31,23,3867
normal,male,vegetarian,twice a day,coal,public,,190,rarely,1651,large,2,14,8,23,1470
overweight,male,pescatarian,more frequently,electricity,public,,106,frequently,1990,extra large,3,19,6,18,2341
underweight,male,vegan,less frequently,natural gas,private,petrol,185,very frequently,7955,extra large,6,12,13,8,5687
normal,female,omnivore,less frequently,electricity,walk/bicycle,,193,frequently,43,extra large,4,5,47,16,2032
normal,female,omnivore,twice a day,coal,private,electric,229,very frequently,7676,large,3,6,39,7,2499
obese,female,pescatarian,daily,natural gas,walk/bicycle,,263,rarely,23,extra large,2,22,27,11,1825
underweight,female,vegan,less frequently,coal,walk/bicycle,,72,rarely,86,extra large,6,19,34,9,1829
underweight,female,vegetarian,daily,natural gas,private,lpg,263,never,315,small,3,6,10,13,866
obese,female,omnivore,daily,natural gas,walk/bicycle,,95,very frequently,25,small,6,16,25,15,2601
normal,male,vegan,more frequently,wood,walk/bicycle,,164,very frequently,48,large,5,21,41,12,2965
underweight,male,vegan,more frequently,wood,public,,176,never,1945,small,7,5,4,21,1068
obese,male,omnivore,twice a day,coal,private,electric,215,very frequently,1299,medium,6,9,2,5,3361
obese,female,pescatarian,twice a day,natural gas,public,,275,very frequently,923,medium,7,5,43,3,3220
overweight,female,vegan,daily,electricity,public,,100,very frequently,1504,extra large,2,22,47,0,2487
overweight,female,omnivore,more frequently,wood,walk/bicycle,,107,frequently,29,medium,2,19,9,14,1536
underweight,male,vegan,more frequently,electricity,private,petrol,197,very frequently,5676,small,2,8,44,22,4338
obese,male,vegan,more frequently,electricity,walk/bicycle,,169,very frequently,96,large,6,23,19,7,3332
overweight,female,vegan,less frequently,coal,public,,138,frequently,1510,small,5,18,4,8,1606
obese,male,vegan,more frequently,electricity,walk/bicycle,,147,very frequently,58,small,2,6,8,10,2132
underweight,female,vegan,daily,natural gas,walk/bicycle,,112,very frequently,11,medium,2,13,17,13,1780
underweight,female,vegetarian,daily,wood,walk/bicycle,,222,very frequently,60,small,5,4,0,19,1730
underweight,male,vegan,more frequently,coal,private,petrol,151,rarely,7968,extra large,3,11,41,23,4950
obese,male,vegan,more frequently,natural gas,private,lpg,94,never,3443,small,4,23,46,24,3041
underweight,male,pescatarian,more frequently,electricity,public,,286,never,1150,small,6,19,12,22,923
overweight,male,omnivore,less frequently,coal,public,,119,rarely,54,large,6,21,3,9,2033
normal,male,omnivore,twice a day,natural gas,private,lpg,64,rarely,1239,medium,5,19,4,18,1596
obese,female,vegan,twice a day,wood,walk/bicycle,,130,frequently,16,medium,5,19,2,5,1686
overweight,male,omnivore,daily,natural gas,public,,66,very frequently,1959,extra large,7,9,3,8,3291
overweight,female,vegan,daily,wood,walk/bicycle,,152,rarely,62,large,3,12,21,5,1133
obese,male,pescatarian,twice a day,coal,private,electric,211,rarely,7189,medium,2,17,12,16,1589
normal,male,omnivore,daily,electricity,private,petrol,176,rarely,2165,extra large,4,0,21,15,2572
normal,male,omnivore,twice a day,wood,private,petrol,83,frequently,7063,small,4,20,16,2,4136
obese,male,pescatarian,daily,electricity,public,,146,very frequently,1796,large,6,6,18,13,3154
normal,female,vegetarian,less frequently,wood,public,,217,frequently,1405,large,5,12,49,9,2086
normal,female,vegetarian,less frequently,natural gas,private,electric,255,very frequently,6113,small,7,18,9,20,1951
normal,male,pescatarian,daily,electricity,private,lpg,85,frequently,1430,small,7,16,47,9,2330
obese,female,vegetarian,daily,coal,private,diesel,57,very frequently,5157,extra large,2,6,20,16,3842
underweight,male,pescatarian,less frequently,wood,private,hybrid,243,rarely,830,extra large,7,20,44,23,2441
obese,male,vegan,daily,electricity,private,diesel,295,very frequently,1597,large,5,9,0,22,3147
underweight,female,vegetarian,less frequently,wood,public,,267,never,1377,small,4,3,24,1,946
overweight,female,pescatarian,more frequently,natural gas,walk/bicycle,,138,rarely,43,extra large,2,3,9,8,1229
overweight,female,vegetarian,twice a day,wood,private,lpg,215,rarely,7044,small,5,15,26,14,3143
obese,female,pescatarian,less frequently,wood,private,hybrid,132,very frequently,9604,extra large,1,12,1,5,3572
underweight,male,pescatarian,daily,coal,public,,85,very frequently,1935,large,5,13,8,16,2869
overweight,female,pescatarian,less frequently,electricity,walk/bicycle,,271,rarely,26,medium,6,18,47,21,1598
overweight,male,vegetarian,daily,coal,private,electric,175,rarely,9259,large,4,13,9,2,1711
normal,female,pescatarian,daily,natural gas,public,,195,very frequently,659,large,4,10,2,2,1844
overweight,female,vegan,daily,electricity,walk/bicycle,,94,frequently,38,large,1,5,37,10,1444
underweight,male,vegan,twice a day,coal,private,diesel,73,rarely,2883,large,1,11,11,16,2068
underweight,male,vegan,more frequently,wood,public,,163,never,352,small,2,11,20,13,951
obese,male,pescatarian,less frequently,natural gas,walk/bicycle,,54,frequently,13,small,6,15,15,13,2153
underweight,male,omnivore,less frequently,natural gas,public,,118,never,1604,medium,3,24,12,12,994
underweight,female,omnivore,more frequently,natural gas,private,lpg,112,never,1715,medium,7,24,9,13,1371
normal,male,vegan,daily,coal,private,electric,116,very frequently,465,extra large,4,19,47,8,3231
underweight,male,pescatarian,less frequently,natural gas,public,,288,frequently,39,small,3,5,50,22,2356
underweight,male,vegan,daily,wood,public,,86,never,893,large,4,17,25,2,1312
overweight,female,omnivore,daily,wood,public,,245,never,1567,medium,7,13,10,14,1463
obese,male,omnivore,less frequently,coal,private,hybrid,280,frequently,9683,extra large,7,18,19,15,5176
obese,male,vegetarian,daily,natural gas,walk/bicycle,,289,very frequently,77,extra large,4,1,15,8,3348
obese,male,vegetarian,daily,natural gas,walk/bicycle,,285,never,53,medium,7,16,23,4,1807
obese,female,vegan,less frequently,coal,private,petrol,112,never,8916,small,4,8,13,1,4640
normal,female,omnivore,twice a day,wood,public,,89,very frequently,1979,large,3,15,20,19,2631
underweight,female,vegetarian,daily,natural gas,walk/bicycle,,283,very frequently,6,large,1,14,48,9,2256
underweight,female,pescatarian,more frequently,electricity,private,lpg,100,frequently,7871,medium,1,20,6,13,2775
obese,female,pescatarian,daily,electricity,public,,146,frequently,779,small,3,4,17,3,1246
normal,male,vegetarian,twice a day,coal,private,hybrid,54,very frequently,5846,small,1,23,24,14,3610
overweight,male,pescatarian,twice a day,coal,walk/bicycle,,109,frequently,28,extra large,1,13,37,1,2548
normal,female,pescatarian,less frequently,natural gas,private,lpg,68,frequently,6590,small,7,7,22,23,3052
overweight,female,omnivore,more frequently,wood,public,,50,frequently,1779,large,6,23,26,4,2363
underweight,male,vegetarian,more frequently,natural gas,public,,101,frequently,867,medium,6,5,49,8,2399
underweight,male,omnivore,less frequently,electricity,private,lpg,271,very frequently,7513,small,7,19,35,23,4580
underweight,female,vegetarian,less frequently,wood,private,hybrid,147,very frequently,5557,extra large,6,22,26,14,3258
overweight,male,vegan,daily,electricity,private,diesel,184,never,5792,large,3,1,32,18,3129
overweight,male,omnivore,less frequently,electricity,walk/bicycle,,72,frequently,53,extra large,5,1,44,1,2647
normal,female,omnivore,less frequently,coal,walk/bicycle,,203,never,77,small,2,11,30,21,1356
underweight,male,vegan,less frequently,electricity,private,lpg,279,frequently,1222,large,3,5,32,4,2130
overweight,female,pescatarian,daily,wood,public,,233,rarely,1251,small,6,8,21,13,1485
normal,male,vegetarian,twice a day,coal,private,lpg,168,frequently,2363,large,2,16,42,13,2746
overweight,male,vegan,twice a day,wood,walk/bicycle,,76,very frequently,8,medium,6,10,35,9,3110
overweight,female,vegan,less frequently,natural gas,private,hybrid,127,never,2740,small,3,9,17,24,1381
underweight,female,pescatarian,daily,wood,walk/bicycle,,224,never,61,small,4,18,13,2,1067
obese,female,vegetarian,more frequently,wood,private,lpg,147,frequently,942,small,1,2,34,0,2147
underweight,male,vegan,twice a day,electricity,public,,295,rarely,1378,large,3,4,50,1,1668
obese,female,pescatarian,twice a day,natural gas,walk/bicycle,,160,rarely,87,extra large,4,8,10,1,1376
normal,male,vegan,twice a day,electricity,walk/bicycle,,96,rarely,8,small,5,23,41,20,1316
obese,female,vegan,daily,coal,public,,209,frequently,276,large,7,11,20,18,2627
normal,male,vegetarian,twice a day,natural gas,public,,201,very frequently,1364,large,7,24,16,2,3187
overweight,male,omnivore,less frequently,natural gas,private,electric,77,very frequently,7699,medium,2,15,37,4,3038
underweight,male,pescatarian,daily,natural gas,walk/bicycle,,80,never,69,extra large,2,10,15,19,1130
underweight,male,pescatarian,less frequently,wood,private,hybrid,161,very frequently,7724,small,4,13,11,23,3725
overweight,female,omnivore,more frequently,coal,public,,242,never,1672,medium,1,3,24,5,1539
normal,male,omnivore,daily,wood,public,,105,rarely,520,medium,4,13,31,5,1597
underweight,female,vegan,less frequently,electricity,private,electric,251,rarely,8406,small,1,24,4,22,606
underweight,male,pescatarian,daily,coal,public,,122,frequently,691,extra large,1,0,17,18,1942
underweight,male,vegan,more frequently,coal,walk/bicycle,,186,never,21,medium,4,16,23,14,1208
underweight,male,vegan,daily,coal,public,,181,very frequently,1931,small,6,16,37,6,2875
overweight,male,pescatarian,less frequently,wood,private,lpg,209,very frequently,8773,extra large,6,17,34,2,6093
overweight,female,vegetarian,daily,coal,walk/bicycle,,72,frequently,18,small,5,22,40,8,1953
obese,male,vegetarian,twice a day,wood,private,diesel,268,frequently,3731,extra large,3,22,49,14,4130
obese,male,vegan,twice a day,wood,private,electric,74,frequently,8155,large,6,13,47,18,2935
overweight,female,omnivore,more frequently,electricity,public,,60,rarely,755,extra large,1,21,24,23,844
obese,male,vegan,daily,natural gas,public,,135,very frequently,371,medium,1,21,45,24,3365
obese,female,pescatarian,daily,coal,walk/bicycle,,158,rarely,7,medium,2,16,39,22,1931
obese,male,vegan,more frequently,natural gas,walk/bicycle,,286,never,51,medium,4,14,26,23,1785
obese,female,pescatarian,daily,natural gas,walk/bicycle,,131,frequently,88,medium,6,4,41,5,2581
obese,female,vegan,more frequently,electricity,private,lpg,84,never,9425,large,1,9,22,13,3495
overweight,female,pescatarian,less frequently,wood,walk/bicycle,,110,rarely,40,small,4,17,28,9,1083
underweight,male,vegan,more frequently,wood,public,,89,very frequently,1091,small,3,7,21,3,2028
normal,male,vegetarian,more frequently,wood,private,petrol,208,frequently,3150,extra large,3,8,49,19,3425
underweight,female,vegan,daily,electricity,walk/bicycle,,228,frequently,78,extra large,5,18,4,4,1316
overweight,female,vegetarian,twice a day,coal,private,diesel,189,frequently,3220,large,2,9,49,1,2686
overweight,female,omnivore,twice a day,electricity,private,electric,138,rarely,298,small,1,7,19,11,1009
overweight,male,omnivore,more frequently,coal,private,diesel,68,very frequently,502,large,5,14,1,19,3218
overweight,female,omnivore,less frequently,coal,public,,198,frequently,826,large,7,15,42,10,2598
underweight,female,pescatarian,daily,coal,walk/bicycle,,283,rarely,9,medium,2,11,22,3,1245
normal,male,pescatarian,less frequently,electricity,private,diesel,135,frequently,1743,small,1,20,37,0,2281
underweight,male,vegetarian,less frequently,wood,walk/bicycle,,259,rarely,67,small,1,0,25,2,1096
overweight,male,omnivore,more frequently,natural gas,walk/bicycle,,267,never,23,extra large,2,5,31,7,1486
normal,female,omnivore,more frequently,coal,private,diesel,250,frequently,3974,extra large,7,5,25,17,3482
underweight,male,omnivore,less frequently,coal,private,diesel,241,never,3080,small,6,6,30,19,2542
normal,female,omnivore,twice a day,wood,public,,260,rarely,1539,small,5,15,35,24,1688
overweight,male,pescatarian,less frequently,natural gas,walk/bicycle,,91,rarely,16,extra large,2,6,50,11,1799
normal,female,omnivore,twice a day,electricity,walk/bicycle,,192,frequently,93,small,3,12,31,6,1461
underweight,male,vegan,less frequently,electricity,public,,129,never,666,extra large,4,1,39,17,1278
overweight,female,pescatarian,less frequently,electricity,walk/bicycle,,54,frequently,60,extra large,1,24,34,1,1474
obese,female,pescatarian,twice a day,natural gas,walk/bicycle,,88,frequently,88,extra large,4,5,36,21,2465
normal,male,vegan,more frequently,electricity,walk/bicycle,,87,rarely,68,medium,1,24,25,23,1226
obese,female,vegan,less frequently,electricity,walk/bicycle,,265,never,89,small,1,17,44,16,1013
overweight,male,omnivore,more frequently,electricity,walk/bicycle,,288,rarely,97,small,7,20,14,4,1587
underweight,female,omnivore,twice a day,electricity,walk/bicycle,,218,rarely,42,small,7,2,35,11,1296
normal,female,vegan,less frequently,wood,walk/bicycle,,299,never,83,large,5,2,30,18,1377
underweight,male,vegetarian,twice a day,natural gas,walk/bicycle,,54,very frequently,31,large,4,8,23,21,2580
underweight,female,vegan,twice a day,coal,public,,247,frequently,1495,large,2,0,48,14,1684
overweight,male,omnivore,twice a day,electricity,walk/bicycle,,94,never,67,medium,7,11,31,21,1787
overweight,male,vegetarian,less frequently,electricity,walk/bicycle,,188,frequently,44,small,1,1,17,1,1276
obese,male,vegan,more frequently,wood,public,,59,rarely,1914,medium,3,20,13,10,1585
obese,male,vegan,more frequently,electricity,private,diesel,102,never,4334,small,2,14,31,21,2386
normal,male,omnivore,more frequently,electricity,private,lpg,69,rarely,2352,medium,6,1,1,14,1991
obese,female,vegetarian,daily,wood,private,hybrid,54,frequently,8443,medium,1,3,19,21,3202
obese,male,pescatarian,daily,natural gas,public,,65,rarely,571,small,7,22,45,20,2005
normal,female,vegetarian,more frequently,coal,walk/bicycle,,178,frequently,19,small,2,11,27,12,1808
underweight,female,vegan,more frequently,coal,private,diesel,65,very frequently,9969,small,3,24,28,19,4350
obese,female,vegetarian,twice a day,natural gas,private,diesel,86,frequently,9844,small,5,13,24,22,4570
normal,female,pescatarian,less frequently,coal,public,,288,frequently,1158,medium,5,17,20,24,2078
overweight,male,vegetarian,less frequently,coal,private,electric,114,rarely,3711,medium,5,8,19,16,1761
overweight,male,omnivore,less frequently,coal,public,,60,very frequently,1902,extra large,2,2,24,16,3062
obese,male,vegetarian,daily,natural gas,walk/bicycle,,189,never,74,large,2,22,38,20,1843
normal,male,pescatarian,twice a day,coal,public,,139,very frequently,449,small,3,22,42,16,2927
obese,female,vegan,twice a day,coal,private,hybrid,291,never,4132,extra large,1,20,38,21,2309
normal,male,vegan,more frequently,wood,walk/bicycle,,253,frequently,35,small,6,8,1,5,1276
normal,female,vegetarian,more frequently,electricity,private,lpg,226,frequently,9122,medium,1,2,42,17,3542
underweight,female,vegan,daily,natural gas,public,,243,frequently,124,small,1,22,20,18,1245
underweight,female,pescatarian,more frequently,natural gas,public,,226,very frequently,1588,small,3,3,7,21,2123
underweight,female,pescatarian,twice a day,natural gas,private,lpg,71,frequently,1812,extra large,4,7,22,3,2070
normal,female,omnivore,daily,electricity,walk/bicycle,,282,never,27,large,3,14,31,2,1064
obese,female,vegan,twice a day,coal,public,,190,very frequently,677,small,2,23,18,13,2945
overweight,male,vegan,more frequently,natural gas,private,hybrid,61,very frequently,5815,medium,2,2,27,4,3261
normal,male,vegetarian,less frequently,electricity,walk/bicycle,,164,rarely,78,small,1,21,18,14,1015
normal,male,vegetarian,more frequently,electricity,public,,160,rarely,407,extra large,7,2,2,19,1749
underweight,female,omnivore,daily,coal,walk/bicycle,,211,very frequently,42,large,4,13,5,17,2311
normal,male,pescatarian,more frequently,coal,walk/bicycle,,130,frequently,18,medium,1,24,50,22,2451
underweight,male,pescatarian,daily,natural gas,public,,89,frequently,1105,extra large,5,22,28,8,2086
underweight,male,pescatarian,daily,coal,walk/bicycle,,251,very frequently,21,small,6,22,18,13,2752
normal,male,omnivore,less frequently,electricity,walk/bicycle,,217,rarely,36,extra large,4,8,10,3,1457
underweight,female,omnivore,more frequently,wood,public,,262,frequently,1271,small,4,21,12,0,1523
obese,female,vegan,twice a day,wood,public,,244,rarely,1804,small,2,17,22,10,1255
overweight,male,pescatarian,more frequently,wood,private,petrol,99,never,6507,extra large,2,15,20,0,4220
normal,female,pescatarian,less frequently,wood,public,,136,very frequently,830,large,1,12,16,5,2175
obese,female,omnivore,twice a day,electricity,private,hybrid,174,very frequently,8951,extra large,7,14,40,24,5474
normal,male,omnivore,less frequently,natural gas,walk/bicycle,,293,never,62,extra large,7,14,20,4,1993
normal,female,vegetarian,less frequently,coal,public,,74,very frequently,120,large,4,9,17,12,2402
underweight,male,omnivore,daily,electricity,private,petrol,93,frequently,2620,extra large,7,4,5,1,2865
obese,female,pescatarian,less frequently,wood,walk/bicycle,,166,rarely,95,large,4,18,23,5,1587
obese,male,omnivore,more frequently,electricity,private,hybrid,243,frequently,6615,extra large,5,5,14,22,4178
obese,male,vegan,twice a day,natural gas,walk/bicycle,,86,never,61,medium,3,11,50,22,1792
underweight,female,omnivore,more frequently,natural gas,private,petrol,255,rarely,5009,medium,4,21,42,16,3223
obese,male,pescatarian,less frequently,natural gas,private,petrol,145,very frequently,7493,medium,1,10,34,5,6438
overweight,female,omnivore,more frequently,electricity,private,hybrid,104,very frequently,4045,large,4,24,36,23,3166
normal,female,vegetarian,daily,natural gas,walk/bicycle,,278,never,24,large,2,0,41,20,1284
underweight,female,vegetarian,less frequently,wood,public,,148,frequently,1328,large,1,19,15,16,1493
obese,male,omnivore,twice a day,natural gas,public,,216,rarely,839,extra large,5,16,40,0,2735
underweight,male,vegetarian,more frequently,electricity,private,petrol,126,frequently,6014,small,1,22,3,17,3397
normal,male,pescatarian,daily,natural gas,public,,63,very frequently,359,medium,5,14,29,6,2611
underweight,female,vegetarian,more frequently,natural gas,public,,150,frequently,1839,medium,2,5,33,5,1478
overweight,female,omnivore,less frequently,wood,public,,253,very frequently,929,large,7,2,0,7,2917
overweight,female,vegan,daily,coal,walk/bicycle,,212,frequently,61,large,5,11,27,16,2442
overweight,male,omnivore,daily,coal,private,diesel,79,never,9089,extra large,2,5,23,16,4144
overweight,male,vegan,twice a day,natural gas,walk/bicycle,,181,never,46,medium,5,1,10,2,1078
overweight,female,vegetarian,daily,electricity,public,,202,never,1814,large,2,22,37,15,1161
overweight,male,pescatarian,less frequently,wood,public,,189,never,333,extra large,6,3,42,17,2363
overweight,male,pescatarian,less frequently,electricity,public,,253,never,1389,medium,7,4,32,23,1926
underweight,male,omnivore,less frequently,electricity,public,,76,rarely,40,extra large,7,21,18,14,1530
underweight,female,vegetarian,daily,wood,walk/bicycle,,128,frequently,8,small,7,9,23,24,1534
underweight,female,vegan,daily,coal,walk/bicycle,,84,rarely,39,small,7,9,30,19,1325
underweight,male,vegetarian,less frequently,natural gas,public,,171,very frequently,1435,medium,4,23,6,5,2262
overweight,male,vegetarian,less frequently,electricity,public,,263,frequently,104,extra large,5,4,19,6,2213
obese,female,vegan,daily,wood,public,,241,very frequently,1500,large,5,20,25,17,3141
overweight,male,vegetarian,twice a day,natural gas,walk/bicycle,,261,never,21,extra large,6,7,15,7,1704
normal,male,vegetarian,more frequently,wood,walk/bicycle,,126,rarely,60,medium,4,11,41,14,1479
underweight,female,pescatarian,twice a day,coal,private,electric,85,frequently,1018,small,2,17,43,24,1999
overweight,male,pescatarian,less frequently,coal,walk/bicycle,,255,frequently,49,small,1,8,37,15,2534
overweight,male,omnivore,more frequently,electricity,public,,217,never,370,extra large,7,21,1,24,2037
underweight,male,omnivore,daily,electricity,walk/bicycle,,218,never,91,small,3,22,26,23,1122
overweight,female,vegan,less frequently,electricity,public,,101,very frequently,1318,large,2,0,17,8,1723
overweight,male,vegan,less frequently,wood,private,lpg,109,rarely,9953,large,6,18,40,22,5416
overweight,male,pescatarian,more frequently,natural gas,public,,282,never,1311,extra large,2,0,26,24,1685
obese,male,pescatarian,less frequently,natural gas,private,lpg,232,very frequently,6415,extra large,1,9,42,16,5267
normal,male,vegan,daily,natural gas,walk/bicycle,,102,frequently,20,large,4,20,18,12,1827
underweight,male,pescatarian,twice a day,natural gas,private,petrol,82,rarely,6229,medium,3,13,2,13,3234
underweight,male,omnivore,twice a day,wood,public,,245,never,827,medium,7,1,3,11,1433
underweight,female,omnivore,twice a day,wood,private,hybrid,91,frequently,4193,extra large,4,14,25,11,2263
normal,female,pescatarian,twice a day,natural gas,walk/bicycle,,177,never,37,extra large,3,17,40,14,1433
underweight,male,omnivore,less frequently,natural gas,walk/bicycle,,74,very frequently,96,medium,2,12,37,8,2235
normal,male,vegetarian,more frequently,electricity,walk/bicycle,,54,frequently,7,medium,3,23,12,9,1414
normal,male,omnivore,more frequently,wood,public,,285,rarely,535,medium,5,8,45,8,2237
obese,female,vegetarian,less frequently,coal,private,lpg,252,very frequently,135,medium,3,9,1,6,2373
normal,female,pescatarian,twice a day,coal,private,diesel,151,rarely,3983,medium,4,22,26,9,2307
normal,female,pescatarian,daily,electricity,private,diesel,156,frequently,8328,extra large,3,12,11,10,3164
overweight,female,vegetarian,less frequently,electricity,walk/bicycle,,63,never,38,large,2,10,10,20,692
overweight,female,vegan,twice a day,natural gas,private,lpg,209,very frequently,8163,medium,2,2,38,6,4615
overweight,male,pescatarian,daily,coal,private,electric,157,never,2728,extra large,3,24,38,0,2141
underweight,female,omnivore,less frequently,wood,private,electric,275,very frequently,3695,medium,5,3,0,11,1894
normal,female,pescatarian,more frequently,electricity,walk/bicycle,,50,never,83,medium,4,15,39,21,930
normal,female,vegetarian,less frequently,natural gas,walk/bicycle,,209,very frequently,3,extra large,6,9,23,14,2645
normal,female,omnivore,daily,electricity,walk/bicycle,,106,never,64,large,7,10,29,4,1364
overweight,female,vegetarian,less frequently,wood,private,hybrid,252,very frequently,7678,small,7,17,32,8,3708
overweight,male,vegan,less frequently,electricity,walk/bicycle,,78,frequently,19,extra large,5,17,36,8,2336
normal,female,vegan,twice a day,electricity,private,hybrid,193,rarely,3252,large,1,20,28,20,1422
normal,male,pescatarian,twice a day,electricity,walk/bicycle,,125,frequently,60,small,6,20,23,21,1797
underweight,female,pescatarian,twice a day,electricity,walk/bicycle,,192,very frequently,71,large,2,11,46,19,2118
obese,male,vegan,more frequently,electricity,private,petrol,115,rarely,3038,medium,2,9,19,23,2764
